City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
viransehir,0,TR,1558846873,18,37.24,39.76,23.66,2.39
vaini,0,IN,1558846873,58,15.34,74.49,29.0,3.1
mataura,98,NZ,1558846874,89,-46.19,168.86,13.33,1.28
hermanus,100,ZA,1558846874,58,-34.42,19.24,26.67,1.49
qaqortoq,88,GL,1558846875,29,60.72,-46.03,11.0,5.7
rikitea,100,PF,1558846876,87,-23.12,-134.97,22.56,12.43
busselton,0,AU,1558846876,41,-33.64,115.35,19.44,4.62
airai,48,TL,1558846877,52,-8.93,125.41,31.06,1.46
san quintin,100,PH,1558846877,55,17.54,120.52,32.86,3.36
dingle,98,PH,1558846331,45,11.0,122.67,33.76,2.08
talen,0,IN,1558846878,11,23.57,76.72,39.86,2.2
isangel,40,VU,1558846303,74,-19.55,169.27,28.0,1.0
koslan,100,RU,1558846879,89,63.46,48.9,6.56,5.27
provideniya,29,RU,1558846880,72,64.42,-173.23,6.46,0.57
albany,90,US,1558846868,72,42.65,-73.75,16.11,7.7
nikolsk,100,RU,1558846881,95,59.53,45.45,11.86,5.33
solnechnyy,100,RU,1558846882,40,50.72,136.64,19.56,2.17
codrington,90,AU,1558846376,44,-28.95,153.24,26.0,5.1
rapid city,1,US,1558846626,62,44.08,-103.23,13.0,4.6
saint-philippe,90,CA,1558846883,93,45.36,-73.48,15.56,4.1
barrow,98,AR,1558846884,70,-38.31,-60.23,12.16,3.82
ushuaia,75,AR,1558846884,93,-54.81,-68.31,4.0,1.72
aguas formosas,17,BR,1558846885,86,-17.08,-40.94,21.16,1.11
saskylakh,6,RU,1558846885,100,71.97,114.09,0.46,2.83
oktyabrskoye,40,RU,1558846886,54,56.73,85.44,16.11,11.0
lorengau,100,PG,1558846298,85,-2.02,147.27,27.06,1.98
puerto ayora,47,EC,1558846759,95,-0.74,-90.35,23.89,3.54
east london,0,ZA,1558846888,82,-33.02,27.91,13.0,2.1
kapaa,90,US,1558846826,74,22.08,-159.32,28.0,4.6
verkhnyaya maksakovka,0,RU,1558846889,47,61.63,50.97,13.0,5.0
bluff,28,AU,1558846889,38,-23.58,149.07,25.46,1.49
kologriv,100,RU,1558846890,94,58.83,44.31,13.26,4.82
vinh,91,VN,1558846890,30,18.67,105.69,39.66,3.1
yenagoa,97,NG,1558846891,90,4.92,6.26,25.06,1.09
haines junction,16,CA,1558846891,35,60.75,-137.51,12.66,2.91
amahai,65,ID,1558846892,68,-3.31,129.0,29.76,3.63
shimoda,75,JP,1558846892,74,34.7,138.93,30.0,7.7
georgetown,40,GY,1558846894,100,6.8,-58.16,24.0,2.1
butaritari,100,KI,1558846895,72,3.07,172.79,29.46,4.55
lavrentiya,0,RU,1558846895,75,65.58,-170.99,6.96,1.78
luanda,75,AO,1558846818,83,-8.83,13.24,25.0,2.6
emerald,75,AU,1558846897,39,-23.53,148.16,27.78,2.1
scarisoara,0,RO,1558846897,87,44.0,24.57,14.44,2.1
bethel,90,US,1558846899,66,60.79,-161.76,13.0,3.6
hobart,79,AU,1558846899,79,-42.88,147.33,11.67,2.24
